Sentence,Label
بھائی آپ رونے والی شکل نہ بنایا کرو بلکل باندر لگتا ہے,o
شامیر بھی گانڈو ہے اور شام بھی بس فروگی اچھی ہے,h
طنز کے لیے ویڈیو میں ماشاءاللہ شامل نہ کریں یہ مذاق نہیں ہے اگر وہ گناہ کر رہے ہیں تو انہیں چھوڑ دیں اور ویڈیوز میں ماشاءاللہ اور سبحان اللہ استعمال نہ کریں کیونکہ وہ گناہ کر رہے ہیں,n
لوگوں نے ان سبسکرائب تو ایسے کیا جیسے کبھی اپ سے پیار ہی نہیں کیا تھا جب بھی ایک ملین ہوا اس نے اپنے بال کاٹے اس نے لوگوں کو بہت انٹرٹینمنٹ کیا,n
زيد بغيرت دوست سے غيرت مند دشمن اچہا ہے,h
ڈکی بھائی سب کمال تھا لیکن آپ نے جو روڈ پے چلینے والے لوگوں کو دینے کے بجائے آپ فلسطین کے بھائیوں کو دیں گے تو میرے خیال سے یہ بہت زبردست رہے گا اور آپ کے لیے آخرت کا سامان بھی بن جاے گا اور اس سے اللہ بھی راضی ہو جائیں گے,n
دنیا کا خوبصورت لڑکی اروب جتوئی اور دنیا کا بدصورت انسان آپ ہو ایسے معلوم ہیں نا آپکو ہیں اروب جتوئی کاش ایک دن ملاقات ہوتا زندگی میں سکون ملتا,h
یہودی قوم کے افراد ہمیشہ فساد کرتے ہیں۔,h
سعد ارف ڈکی صاحب یہ جو ہر طرف کافی دنوں سے تماشا چل رہا ھے اسے دیکھ کر سب سے پہلے تو یہ چیز میرے دماغ میں آتی ھے کہ بہت ھی اچھا فیصلہ تھا میرا جو میں نے انسانوں کے بجائے پرندوں پر یوٹیوب چینل بنایا اور پھر تم لوگوں کے پھڈے کو دیکھتا ھوں تو ایک بات اور سامنے آتی ھے کہ آپ ذرا غور کرو آپ سب ایک ھی کاسٹ کے لگتے ھو اور ایک ھی نیچ کے چینل چلانے والے ھی ایک دوسرے کو گرا رھے ھو سچا کون جھوٹا کون یہ تو اللّٰه ھی جانتا ھے لیکن مشورہ یہ ھے دوستوں میں جب پٹھان دوست نھیں رکھوگے تو پھر ھر راہ چلتا ھوا بھی کھیل جائیگا تم۔ لوگوں کی جگہ میرے ساتھ ایسا ھورہا ھوتا تو میں یہ ایک گھنٹے کی ویڈیو بنانے کی بجائے باوضو ھوکر نماز ادا کرکے کلمہ پڑھتا اور جملے میں اپنی بے گناھی بتاتا دوسرے جملے میں قصور واروں کا نام اور چال بتاکر اللّٰه پر چھوڑ کر ویڈیو ختم۔ کردیتا اور لوگوں کو سب سمجھ آجاتا۔ مشتاق خٹک مشتاق برڈز اکیڈمی یوٹیوب چینل ۔ جزاک اللّٰه,n
اس بندے کی تو شکل ہی ایسی ہے کہ اس کو دیکھتے ہی غصہ آجاتا ہے بچپن میں اسے جب آئینے کے سامنے بٹھایا جاتا ہوگا تو ا سے بھی تھپڑ مارتا ہوگا کہ کتا آ گیا سامنے گھٹیا پن کی حد ہوتی ہے یار مطلب دھمکیوں تک اتر آیا یہ کمینہ اور وہ بھی فیملی کی دھمکیاں لعنت بےشمار,o
ان کے نظریات دنیا کے لیے خطرہ ہیں۔,h
کافی دنوں سے ویڈیو نی آئی اپ کی میں نے سوچا اللہ کو پیارے ھو گئے ہو ۔آپ کو زندہ دیکھ کر مجھے بہت دُکھ ہُوا ہے,n
ڈکی بھائی نے رج کے ذلیل کیتا شام کھسرے نے ماسا نی فیل کیتا,o
اللہ کی قسم میں ڈکی بھائی کو سے فالو کرتا آ رہا ہوں اور یہ وڈیو بھی مکمل دیکھی ہے ڈکی بھائی حق پر ہے سب سچ بول رہا ہے۔,n
یہ قوم فطری طور پر پرتشدد ہے۔,h
ایک میاں جہنم میں جائے گا اپنی بیوی کو منع نہیں کرتا بھائی جان میں جائے گا باپ باب جہنم میں جائے گا ماں جہنم میں جائے گی جو منع نہیں کرتی پردے کا باقی اپ کی موج ہے بے حیائی پھیلاتے جائیں اپ کو بہت ثواب ملے گا بے حیائی پھیلاتے جائیں بالکل منع نہ کریں,o
الو کا پٹھہ ۔اتنا ٹائم نہیں ہے میرے پاس آپ کی بکواس سنتا رہو,o
گشتی کے بچے مسلمان لگتا ہی نہیں تو بہن چود کال ریکارڈ کر لی تو سیدھا سیدھا معذرت کر جان چھوڑ یہ گشتی ماں کا بچہ وڈیو بنانے پر آ گیا ہے بہن چود۔۔,n
کنڈم بنانے والی کمپنیوں سے گزارش ہے کہ بیشک قیمت میں پانچ روپے کا اضافہ کرلیں مگر کنڈم اچھی کوالٹی کا بنائیں تاکہ ایسی پیداوار سے پاکستان محفوظ رہ سکے۔,o
بھاٸ اکیلا ڈکی دونوں شام اور شاہ میر کی بنڈ مار گیا یار ڈکی لو یو یار یہ ویڈیو ان دونوں کی گانڈ میں ڈال دے گی,n
یہ ڈکی دنیا کا سب سے بڑا منافق ہے اور اس کو سپورٹ کرنے والے اس کے بھی باپ ہیں افسوس ہے تم سب لوگوں پر کہ تم اس منافق کی باتوں میں اگئے افسوس سد افسوس,o
تمہارے جیسے جھوٹے اور مکار لوگ دنیا میں زہر گھولتے ہیں۔,o
جن لوگوں نے تمھیں اج اونچائی تک پہنچایا تم لوگوں کی پہچان بنائی انہی کی انسلٹ کر رہے ہو باجی پبلک کے بنا تم صفر ہو یاد رکھنا,n
اس کی ماں کی انکھ۔۔ پاکستان آکر ہمیں ہی دھمکا رہا ہے ۔۔ اسکی ماں کی,h
ڈکی آرمی آپ کے ساتھ ھے بھائی آپ بہت اچھے بہت سچے انسان ھے اللّہ تعالیٰ آپ کے ساتھ کبھی برا نہیں ہونے دے گے اللّہ تعالیٰ نے آپ کو بہت ترقی دینی ھے انشاء اللہ,n
تمھاری سوچ کا گھٹیا پن تمہاری باتوں سے صاف ظاہر ہوتا ہے۔,o
یار ڈکی بھائی آپ یوٹیوبر آپس میں لڑو ایک دوسرو کو مارو کوئی مسئلہ نہیں ہے لیکن آپ لوگ بعد میں فیملی کوں تنگ کرتے ریتے ہو,o
بہت اچھا کم کیا ڈکی اس کو اصل میں ایسا ہی ٹھوک کہ رکھنا چاہئیے اسے بھی پتا چلے جب پاکستانی کسی کو چک لیتے ہیں تو کیا ہوتا ہے,n
اس کو ویشنو ماتا کے بارے میں مزاق کرنے کے بعد ایک آدمی نے اس کوسبق سیکھایا سٹیشن پر,h
ان کی روایات جرم کی تعلیم دیتی ہیں۔,h
"آپ کو سلام بھائی سوشل میڈیا پر توجہ طلب کرنے والوں نے اس جگہ کو خراب کر دیا ہے اور دوسروں کو بدنام کرنے کے لیے کچھ بھی کریں گے۔ مجھے اب بھی پچھلے دو سال یاد ہیں جب آپ کو نشانہ بنایا گیا، دھونس دیا گیا اور ہراساں کیا گیا، پھر بھی آپ خاموش رہے۔ لیکن ہاں، مزید جھوٹ نہیں۔",n
"تم جیسے چند گھٹیا لوگوں کو وجہ سے معاشرے میں گندی زبان سرعام استعمال ہونا شروع ہوگئی ہے اور ایک دوسرے کے خلاف صرف حسد ،زہر اور نفرت پھیل رہی۔انتہائی کوئی لالچی اور خود غرض انسان ہو تم۔۔منافق جھوٹا ۔اپنی زبان تو ٹھیک کر کے کوئی معاشرے اور ملک کو بہتری کے لئے بھی کام کر لو۔",h
ڈکی بھائی شاہ مدی طلحہ کی م کے رکھ دو ر کی نسل میں چڑیا نہ ڈکی بھائی اب واپس اگئے بہت شکریہ اپ کا ان کی م دو رنگی,n
شام تو اپنی ماں سے شادی کا پرینک بھی بنا لے پیسے کیلئے اور کسی دن اپنی بہن کے ساتھ سوہاگ رات منانے کی ویڈیو بھی بنا لے,o
ان کا دین خونریزی پر مبنی ہے۔,h
یے سارے کتے مل کر بھی ڈکی کے جوتے کے برابر بھی نہیں,h
ان دونوں بغیرتوں کو کوئی شرم نہی فیملی ولوگس بند ہونا چاہیے ان دونوں کی اور کتی نہلاؤ ذرا ویلڈن,h
بھائی اس بندے کی تو میں ایک بھی ویڈیو نہیں دیکھتا جو یہ بناتا ہے نہ ہنسی آتی ہے نہ کچھ ۔۔۔ فضول بندہ ہے ایک دم,n
ان کی ثقافت جرم کو فروغ دیتی ہے۔,h
ان کو معاشرتی بائیکاٹ کرنا چاہیے۔,h
اس کی باتوں میں وزن ہے کہ تم یار گالیاں بہت نکالتے ہو اور وہ بھی انے واہ,o
یہ وہ پین یک لوگ ہیں جن کے پاس دوزح کی نشنیلٹی ہے بغیر ویزا داخل ہوں گے,h
اس میں غلطی تھماری نہیں ہے بیٹا غلطی تھماری باپ کی ہے جو گھر سے نکلنے کے وقت گھر کا داروازہ بند نہیں کیا اور پڑوسیوں نے تھماری بنیاد رکھ دی ۔۔,n
ان لوگوں کی موجودگی خطرناک ہے۔,h
"تمہارے جیسے نالائقوں کی وجہ سے ہی معاشرہ برباد ہو رہا ہے، تم سے بھلا کیا توقع رکھی جا سکتی ہے؟",o
تیری شکل دیکھ کر تو بندہ دعا کرے کہ دوبارہ نہ دیکھے۔,o
ان کی عبادات صرف نفرت کو فروغ دیتی ہیں۔,h
یہ کوئی بڑا ہی بغیرت آدمی ہے اس صدی میں بھی اس طرح کی گندی سوچ والے لوگ پائے جاتے ہیں کھوتی کے بچے شام ادریس جیسے لیکن اللہ جسے عزت دے اوسے کم کوئی نئ کر سکتا اور میرے بھائی ڈرنے کی کوئی ضرورت نئ ان جیسے ممی ڈیڈی بچوں سے جو لوگ فیم حاصل کرنے کے لیے اپنی بہن بیٹیوں کو نیٹ پر ساتھ رکھتے ہیں اور اپنے کام پر فوکس کرو وڈیو بناو رضا سمو پر روسٹ ایک بنتا ہے,h
اس کہ نہ ماں ہے نہ ابو یہ تو کھسرا ہے بہن چود,h
اپ کی بیوی چند سال میں انکی خوبصورتی ختم ہوجایے کی ۔ اور لوگ بھی دیکھتے دیکھتے دل بھر جایے گے پھر کیسے ویوزں لاوں گے,n
دوستو میری ویڈیوز کوئی نہیں دیکھتا میں اپنے چینل پر سے زیادہ ویڈیوز اپلوڈ کر چکا ہوں پلیز ایک بار میرا چینل وزٹ کریں آپ کو ضرور پسند آئے گا اگر پسند آئے تو سبسکرائیب ضرور کرنا۔ شکریہ,n
تم جیسے بے غیرتوں کی وجہ سے عزت کا جنازہ نکلتا ہے۔,o
تمھارا بولنے کا انداز ہی بتاتا ہے کہ تم کس قدر بد تہذیب ہو۔,o
ایسے گروہوں کو تباہ کرنا ضروری ہے۔,h
"مولاعلی کا قول ہے جس پے احسان کرو اُس کے شَر سے بچو، آپ نے اُس بے غیرت انسان کی مشکل میں مدد کی اور وہ احسان فراموش نکلا",n
"کیسا بے شرم آدمی ہے اللہ معاف کرے، مجھے آج تک لگتا تھا کہ چلو ہوگیا جھگڑا ہوگیا اب اس معاملے کو ختم ہونا چاہئے اور سعد کو بھی دل بڑا کرنا چاہئے، لیکن یہ شام ادریس تو وڈا حرامی ہے بھائی۔۔۔",n
تم اس معاشرے میں بیغیرتی پھیلا رہے ہو تم لوگوں کے سامنے اپنی عزتیں پش کرتے ہو اور لوگ صرف تیری گھر والی کو دیکھنے ہی آتے ہیں اور تو کونسا کوئی اچھا سبق دیتا ہے اپنی ویڈیوز میں تم جیسے لوگ پاکستان کے معصوم بچوں کے دماغ بھی تباہ کر رہے ہو اور ایسا میں ہونے نہیں دو گا ۔ میرا اللہ سے وعدہ ہے کہ میں اپنی ذندگی میں تم کو جاں سے مار دو گا تاکہ پاکستان کا معاشرہ مزید تباہ نہ ہو اگر جان پیاری ہے تو اپنی ویڈیوز میں اپنی عورتیں مت دکھا کیونکہ اسلام اس کی اجازت نہیں دیتا اور تم جیسے لوگ اسلام کے احکامات کی دحجھیاں اڑادیں تم مسلمان نہیں ہو سکتے اور نہ ہی مسلمان ہونے کے حقدار ہو دیکھنا ایک دن ساری دنیا تیرا تماشا دیکھے گی,h
ان کے عقائد انسانیت دشمن ہیں۔,h
سکیم دنیا کا سب سے بے غیرت انسان ہے,h
اگر آج کوئی یا سال کا لڑکا تمھارے یا اروب کے بارے میں یہ کہے کہ ہمیں مجرا دکھاؤ ہمیں نرگس کا ڈانس نہیں دیکھنا اور سال بعد یہ کہے کہ میں اس وقت روٹی کو چوچی بولتا تھا تو تمہیں کیسا لگے گا,n
یہ قوم دنیا میں فتنہ پھیلانے والی ہے۔,h
اس کا ماں باپ کون ہے اور یہ رنڈی خود کون ہے,h
ڈکی حرامخور ہیرا منڈی کی پیداوار ہے لعنت تیری نسل پر جھوٹے,o
ثابت ہوا کہ یہ خاندانی لوگ نہیں ہیں,h
ان لوگوں کو ملک سے نکال دینا چاہیے۔,h
ان کے ساتھ سختی سے نمٹنا ضروری ہے۔,h
کیسی مینٹیلیٹی ہے اس قوم کی کبھی اس کے ساتھ ہو جاتے ہیں کبھی اس کے ساتھ۔۔۔ اور فضول میں ٹائم ضائع کر رہے ہیں,n
تمھاری باتوں میں اتنی غلاظت ہے کہ کان بند کرنے کو جی چاہتا ہے۔,o
ہیلو اقرا بکری تم تو پاگل ہو تمہیں شرم نہیں اتی ایتنے مثلا کہ تم دوپٹہ اتارا ہوتا ہے اور ساتھ میں یوتوب پر اتنا بے حیائی,n
ان کے اجتماعات نفرت کا مرکز ہیں۔,h
اس رنڈی کے طوخم کا بھائی پاکستان میں رہتا ہے اویٹر کا کھبا ٹٹہ,o
صرف یوٹیوب کے ویوز کے لیے لوگ اس حد تک جا سکتے ہیں حیران کن ہے,o
بابر اعظم کپتانی کے لیے تیار ۔ چیئرمین محسن نقوی نے بابر اعظم کو کپتان بنانے کے لیے زیر گور محمد رضوان اور شہنشاہ افریدی دونوں پھر ناکام اپ کے خیال سے کس کو کپتان بنانا چاہیے,n
اپنے کام میں لگے رہو یہاں پر لوگ اپنے فائدے کے لئے دوسروں پہ کیچڑ اچھالتے ویڈیو ڈالنا بند نہیں کرو ہمیں اپ پر بھروسہ ہے,n
اتنی ذلیل حرکتیں کر کے بھی تمھیں کوئی فرق نہیں پڑتا؟,o
ان کی عبادات شر انگیزی پر مبنی ہیں۔,h
ایسی فضول ویڈیو دیکھنے سے اچھا ہے کہ بندہ غیر ضروری بال صاف کر لے,o
بھائی اللہ پاک نے جو عزت آپ کو دیا ہے کوئی آپ کی عزت خراب نہیں کرے گا۔ بس صرف آپ نے یہ کرنا ہے کہ اپنا پانچ وقت کی نماز پڑھنا ہے۔,n
شام اور دوسرا دونون تھیک ھے گاندو ھین لیکن تو اسلی رندی کا بچہ ھے ب چ جب اندیا پاکستان کی تنشن چل رھی تھی تو مادر چود نے ایک ودیو بھی نھیب بنائ,h
ایسے لوگوں کو جیل میں ڈال دینا چاہیے۔,h
"اگر سعد تو کیا، کسی کو بھی یہ اُسکی فیملی کو شام نے نقصان پہنچایا۔ تو یہ اُسکی بھول ہے کہ وہ کینیڈا میں بھی سکون ڈے رہ لے گا۔ کم از کم ایسی سستی بدمعاشی پاکستانیوں سے نہیں دکھانی چاہیے،",o
تجھے حق کون دیتا ہے کہ تم ابن آدم کو عیب بیان کرو تم اپنا کام کرو شام ادریس کیا کر ریا ہے اس سے تمہارا کیا لینا دینا۔ تم اس کے عیب تب بینا کرو جب تم میں کوئی عیب نہیں ہیں۔ اللہ پاک تیرے عیب چھپائے ہوئے ہے نا تو تم کیوں اللہ کے بندوں کے ساتھ ایسا کر رہے ۔ تم مسملمان ہو ۔اور مسلمان یہ کام نہیں کرتے ۔,h
تو صرف سبسکرائبرز کی جنگ ہے خدا کی پناہ پیسا کیا کیا کروا لیتا ہے,o
"تیرے جیسا کمینہ انسان نہ دیکھا، جو ہر وقت دوسروں پر انگلی اٹھاتا ہے مگر خود آئینہ دیکھنے کی جرات نہیں رکھتا۔",o
اس کو تو سال پہلے ہی میں نے کردیا تھا یہ ایک ہی ٹاپک کو اتنا کھینچتا ہے کہ کسی بندے نے شائد خود کا وہ کبھی اتنا کھینچھا نا ہو,n
درگتدث کے کسی بھی قسم کی اشاعت ممنوع ہے تاہم اس تھا کہ وہ اپنے آپ سے ٹوٹ پھوٹ کا شکار ہو کر دی گئی ہے تاہم اس تھا کہ وہ اپنے آپ سے,n
تم لوگ بہت احادیث سناتے ہو جو که رہے کبھی ہیٹ میسج نہیں کیے ۔۔۔ بے شرم گھٹیا لوگ,o
کیا آپ ڈکی بھائی کا روسٹ ایک سکیم ابلیس پر اور دوسرا اس کے سستے خواجہ سرا پر دیکھنا چاہتے ہیں,o
ان کے مدارس نفرت پھیلاتے ہیں۔,h
مجھے ایک بزرگ نے کہا بیٹا اس کو کبھی مخلص دوست نا سمجھنا جو وقت کے ساتھ آپ سے زیادہ آپ کے دوست کو ترجیح دے کیونکہ وہ اپنا مطلب کے لیے سب کا استعمال کر رہا ہوتا,n
ان کا وجود ہمارے معاشرے کے لیے زہر ہے۔,h
تم دونوں بہاڑ میں جاو مادرچود,h
تم خود اپنی بیوی کی نمائش کرواتے ہو جو اسلام کے خلاف ہے کا حکم ہے قرآن مجید میں کہ پردہ کرو تاکہ پہچانی جاؤ اور ستائی نہ ہو مطلب پردہ کرو تاکہ پتہ چلے تم خاندانی عورت ہو بازاری عورت نہیں لیکن پیسوں کو آپ لوگوں نے مقصد بنا لیا ہے توبہ کرو آج بھی وقت ہے کی رحمت کا دروازہ کھولا ہے بجائے دوسروں پر الزام لگانے کے توبہ کرو اور بے حیائی مت پھیلاؤ,n
ان کا ہر قدم نفرت کا باعث ہے۔,h
تمھاری اوقات بس اتنی ہے کہ دو ٹکے کی عزت بھی نصیب نہ ہو۔,o
تم جیسے ناکام انسانوں کا مقدر بس رونا دھونا ہوتا ہے۔,o
شام کی آنکھیں ہی کسی درندے اور نہایت خود غرض ترین انسان والی ہیں مجھے اس کی آنکھوں سے بڑی سخت نفرت ہے کیونکہ یہ اسکے کردار کا صحیح آئینہ ہیں,h
آپ لوگوں کی بکواس اور فالتوں ویڈیوز پر ماشاءا للہ لکھنے والوں آپ کو فالو کرنے والوں پر بھی افسوس ہے لعنت ہے ویلے فارغ لوگوں پر,o
کوئی بتا سکتا ھے کہ یہ میاں بیوی پٹواری ھیں کیا کیونکہ یہ تو مجھے جاہل اور انپڑ لگ رہے ھیں,h
یہ گروہ معاشرتی امن کا دشمن ہے۔,h
بھائی ڈہائی سال تک آپکا موبائل کے انسٹرا گرام میں میسج کیسے محفوظ رہتا ہیں مجھے بھی بتائے میرا میسج خود ختم ہوجاتا ہے کچھ عرصہ بعد,n
"ہر وقت اپنی بے وقوفی کا مظاہرہ کرنا تمہاری عادت بن چکی ہے، شرم کرو کچھ۔",o
تم جیسے بد زبانوں کے لیے دنیا میں کوئی جگہ نہیں ہونی چاہیے۔,o
پنجابی کی ایک مثال ہے ککا بورا بندہ بلی آنکھوں والا تے مونچھا والی رن عورت جس کی مونچھیں ہوں بال ہوں چہرے پر جیہڑا اینا دا اعتبار کرے اوندی وی پین دی ایل,o
شہادت امام علی علیہ سلام ھے کم از کم آج کے دن میوزک اور باقی اچھل کود سے پرہیز کر لیتے ۔۔۔۔۔ رمضان,o
سب کو باری باری گالی دینے کا موقع ملے دھکم پیل نہ کریں,o
میں سے ایک میں ہو اگر دنیا میں ایک فن ہیں تو وہ میں ہی ہو اگر دنیا میں کوئی فن نہیں ہیں تو سمجو میں مر چکا ہو,n
السلام علیکم ڈکی بھائی کیسے ہو ٹھیک ہو ڈکی بھائی میرا ماننا تو یہ ہر بندے اپنا حساب خود دینا ہوگا اخرت میں کیونکہ جس طرح دنیا میں اپ کرو گے اس طرح اخرت میں بھی اپ سے حساب لیا جائے گا اور یہ جو یوٹیوب پہ ہے اپ کے بارے میں ویڈیو لگاتے ہیں ان کو تھوڑی سی شرم انی چاہیے پہلے آپ اپنے آپ کو صحیح کرے بعد میں کسی پر تنقید کرے۔۔میرا تو یہ ماننا ہے ۔۔وَتُعِزُ مَن تَشَاء وَتُذِلُ مَن تَشَاء,n
پہلے بیک مانگ مانگ کر سبسکرائب کرواتے ہیں اور پھر یہ لوڑے ہمیں فینز بولتے ہیں,o
بدلہ برادر کی روسٹنگ سے اوپر کوئی نہیں بے عزت بھی کرتے ہو تو لاجک سے۔۔۔ لیکن آپ جو مرضی کولو انکو شہرت اور پیسہ حاصل کرنا ہے اسکے لیے اتنے اندھے ہوگئے ہیں کہ بیغیرتی کو محنت اور ٹیلنٹ کا نام دے رہے ہیں باقی جتنا انکا دماغی لیول ہے ان کی باتیں انہی کیساتھ میچ نہیں کررہی,n
شام خبیث بھائی جان۔۔۔ اب آپ پکا وڑ گئے ہو اور یہ ویڈیو آپکے تابوت میں آخری کیل ہے۔,o
میں جب میں اپنے ٹٹے شیو کرتا ہوں تو اس کی گانڈ کی طرح ہو جاتے ہیں,o
"ہن نئی کاکا، ہن لوک سارے یوٹیوبراں نوں گالا کڈ دے نے، تسی سارے پیچھوں ایک ای اوو۔ سب ڈرامے باز ڈالر دے شوقین",h
آپ کا ایک کلک لگنا ہے اور مجھ غریب کی زندگی بدل جانی ہےآپ کا کچھ بھی نہیں جائیگا اللہ میں آپ کو تمام خوشیاں نصیب فرمائے اور آپ کے والدین کا سایہ ہمیشہ سلامت رکھے انہیں لمبی زندگی عطا فرمائے آمین,n
ان کی تعلیمات صرف نفرت سکھاتی ہیں۔,h
"تیری باتیں سن کر دماغ کی نسیں پھٹنے کو آتی ہیں، کیا بکواس ہے جو تم دن رات کرتے رہتے ہو؟",o
چوتیے اتنے تیرے کام نہیں جتنے چوتیاپے ہیں عوام سیاسی شو کی طرح بتی کے پیچھے لگا کر ریٹنگ کماتے ہو اینٹرٹینمنٹ کے نام پر ذلالت ہی کرتے ہو,h
هم مسلمان هیں همارا مذهب همیں روکتا هے که کسی کی دل آزاری نهیں کرنی اس لیے تمام ویورز سے گزارش هے که ڈکی بھاٸی کے چینل پر هیٹ کمنٹ نه کریں ۔۔۔۔,n
تم بہت بڑے چوتیا ہو گھٹیا انسان,h
"دن ماڑے ویکھ کے چن ماہی، ویندا ہر کوئی چھوڑ سلام اے جیڑے خون دے رشتےدار ہوون، او وی کردے غلط کلام اے ٹٹ پینگھ ونجے جدوں بختاں دی، ہوندی ہر کوشش ناکام اے ڈھلے بخت تے سجنڑ وی چھوڑ ویندے، اے رسم جہان تےعام اے",n
چاند کے ساتھ سانڈھ کیا ظلم ہے,h
تمہارے جیسے لوگ ملک کی بدنامی کا باعث بنتے ھیں تمہاری زبان ھی غلط ہے,h
اس چوتیے نے صیح بولا کہ ڈول کے آنے کے بعد گناہ کم ہو جائے گا,h
اللہ کا لاکھ لاکھ شکر ہے ڈکی بابا رجب اور جتنے بھی گندگیاں ہیں کہ میں نے ان کو کبھی بھی فالو نہیں کیا ہوا,o
تم جیسے ناکام انسانوں سے زیادہ کوئی قابل رحم نہیں۔,o
السلام علیکم اقرار پی اپ کی ویڈیو دیکھ کر سارے دن کی ٹینشن دور ہو جاتی ہے اریب بھائی بہت اچھے شوہر ہیں اللہ اپ دونوں کو ہمیشہ خوش رکھے,n
اَلسَلامُ عَلَيْكُم وَرَحْمَةُ اَللهِ وَبَرَكاتُهُ بھاٸی میرا چینل بھی سبسکراٸب کر دو مہربانی ہو گی ۔ بہت محنت کرتا ہوں,n
لوگ کہتے ہیں جو جیسا کر رہا ہے کرنے دو آپ کو کیا لگے ان لوگوں کو مسلہ نہیں ہے اپنی بیویاں دیکھنے میں تو آپ کو کیا مسئلہ ہے تو ہمیں ہیں مسئلہ ہم غلط کو غلط کہے گے اگر غلط کر رہا ہو اور اس کو ایسا کرنے دینا اور کچھ نہیں کہنا جائز ہوتا تو پاک اپنوں بندوں کی اصلاح کے لیے کم و بیش لاکھ چوبیس ہزار انبیا ء کرام نہ بھیجتا قرآن مجید میں فرماتا ہے کہ ہم نے رسول بھیجے تاکہ وہ خوش خبری دیں اور ڈرائے اس لیے ہم تو غلط کو غلط کہے گئے اور ہر بندے کا حشر اس کے ساتھ اس ساتھ اس کی حمایت ہے اس لیے ہماری حمایت گناہ اور غلط کام کے ساتھ نہیں اور جس کو گمراہ کر دے اس کے لیے تم کوئی راہ بتانے والا نہیں پاؤ گے القرآن,n
انہوں نے صرف عمران خان کو چھوڑنے کی وجہ سے گرفتار کیا۔,o
یہ قوم ہمیشہ فساد پھیلانے والی رہی ہے۔,h
یہ قوم دھوکہ دہی میں ماہر ہے۔,h
تیسری جنگ عظیم شروع ہو گٸ ہے ۔ بھاٸی میرا چینل بھی سبسکراٸب کر دو مہربانی ہو گی ۔ بہت محنت کرتا ہوں۔ نیوز چینل ہے ۔,n
کیا بےغیرتی ہے یار۔۔۔ پیسے اور شہرت کی ہوس انسان سے کیا کیا کرواتی ہے۔۔۔ اب اللہ بہتر جانتا ہے کہ وہ سچا ہے یا جھوٹا لیکن ہمیں اس چیز میں دلچسپی نہیں۔۔۔ اور بھی بہت سارے ٹوپک ہیں تم اس پر بھی وڈیو بنا سکتے ہو جیسے ہمیشہ بناتے۔۔۔ وہ جو کرتا ہے اسے کرنے دو تمہیں کیا لینا دینا ہے یا اس کو کیا لینا تم سے۔۔۔,h
